iter	Passed	Remaining
433	6457	8421
434	6473	8408
435	6495	8402
436	6513	8390
437	6525	8372
438	6542	8360
439	6559	8348
440	6576	8335
441	6589	8319
442	6605	8305
443	6614	8282
444	6629	8268
445	6641	8249
446	6655	8234
447	6671	8219
448	6688	8208
449	6708	8199
450	6717	8177
451	6727	8156
452	6739	8138
453	6756	8125
454	6772	8112
455	6789	8099
456	6802	8083
457	6818	8069
458	6830	8050
459	6850	8042
460	6871	8034
461	6888	8021
462	6906	8010
463	6950	8028
464	6976	8026
465	6991	8011
466	7021	8013
467	7047	8011
468	7069	8003
469	7098	8005
470	7120	7996
471	7140	7987
472	7158	7976
473	7175	7963
474	7194	7951
475	7206	7932
476	7215	7911
477	7235	7901
478	7253	7888
479	7267	7873
480	7285	7861
481	7303	7849
482	7321	7836
483	7339	7824
484	7353	7808
485	7368	7792
486	7384	7778
487	7401	7765
488	7412	7746
489	7431	7734
490	7448	7721
491	7465	7708
492	7477	7689
493	7489	7671
494	7507	7658
495	7528	7649
496	7556	7647
497	7581	7642
498	7610	7640
499	7627	7627
500	7660	7629
501	7686	7625
502	7699	7607
503	7717	7594
504	7731	7578
505	7756	7572
506	7780	7565
507	7809	7563
508	7841	7563
509	7862	7554
510	7896	7556
511	7924	7553
512	7948	7545
513	7977	7543
514	8006	7539
515	8042	7543
516	8071	7540
517	8098	7535
518	8134	7538
519	8163	7535
520	8186	7526
521	8216	7524
522	8243	7518
523	8263	7506
524	8286	7497
525	8304	7483
526	8322	7469
527	8342	7457
528	8357	7440
529	8371	7423
530	8386	7407
531	8400	7390
532	8418	7375
533	8441	7366
534	8454	7348
535	8471	7333
536	8489	7319
537	8511	7309
538	8532	7297
539	8546	7280
540	8563	7265
541	8581	7251
542	8597	7236
543	8614	7221
544	8631	7205
545	8650	7192
546	8668	7179
547	8677	7157
548	8694	7142
549	8711	7127
550	8727	7112
551	8743	7096
552	8759	7080
553	8776	7065
554	8789	7047
555	8803	7030
556	8817	7012
557	8833	6996
558	8849	6981
559	8869	6969
560	8887	6954
561	8904	6939
562	8920	6923
563	8937	6909
564	8955	6894
565	8972	6879
566	8995	6869
567	9017	6858
568	9035	6843
569	9055	6831
570	9074	6817
571	9091	6802
572	9103	6784
573	9116	6766
574	9142	6757
575	9159	6742
576	9175	6726
577	9191	6710
578	9207	6694
579	9223	6678
580	9242	6665
581	9257	6648
582	9277	6635
583	9296	6621
584	9313	6606
585	9329	6591
586	9346	6575
587	9363	6561
588	9381	6546
589	9397	6530
590	9413	6514
591	9429	6498
592	9445	6483
593	9461	6466
594	9481	6453
595	9497	6438
596	9514	6422
597	9530	6407
598	9548	6392
599	9565	6376
600	9583	6362
601	9600	6346
602	9620	6333
603	9643	6322
604	9658	6305
605	9678	6292
606	9698	6279
607	9715	6264
608	9736	6251
609	9756	6237
610	9777	6224
611	9797	6211
612	9820	6200
613	9842	6187
614	9864	6175
615	9886	6162
616	9905	6148
617	9927	6136
618	9948	6123
619	9969	6110
620	9990	6097
621	10009	6083
622	10031	6070
623	10051	6056
624	10071	6042
625	10091	6029
626	10112	6016
627	10138	6005
628	10159	5992
629	10182	5980
630	10201	5965
631	10222	5952
632	10242	5938
633	10262	5924
634	10282	5910
635	10304	5897
636	10327	5885
637	10349	5872
638	10372	5859
639	10396	5847
640	10420	5836
641	10447	5825
642	10471	5813
643	10492	5800
644	10517	5788
645	10538	5774
646	10565	5764
647	10592	5754
648	10612	5739
649	10634	5726
650	10653	5711
651	10678	5699
652	10699	5685
653	10721	5672
654	10741	5657
655	10764	5644
656	10799	5638
657	10823	5625
658	10844	5611
659	10860	5594
660	10877	5578
661	10894	5562
662	10910	5545
663	10926	5529
664	10943	5512
665	10956	5494
666	10972	5478
667	10988	5461
668	11006	5445
669	11029	5432
670	11046	5416
671	11063	5399
672	11083	5385
673	11101	5369
674	11122	5355
675	11142	5340
676	11161	5325
677	11177	5308
678	11194	5292
679	11217	5279
680	11240	5265
681	11257	5249
682	11273	5232
683	11290	5216
684	11306	5199
685	11321	5182
686	11333	5163
687	11349	5146
688	11370	5132
689	11387	5116
690	11404	5099
691	11422	5084
692	11442	5069
693	11458	5052
694	11475	5036
695	11492	5019
696	11509	5003
697	11525	4986
698	11541	4970
699	11558	4953
700	11574	4936
701	11590	4920
702	11605	4903
703	11622	4886
704	11643	4872
705	11661	4856
706	11677	4839
707	11694	4823
708	11709	4806
709	11725	4789
710	11742	4773
711	11759	4756
712	11775	4739
713	11790	4722
714	11807	4706
715	11823	4689
716	11844	4675
717	11861	4658
718	11877	4641
719	11892	4624
720	11909	4608
721	11925	4591
722	11942	4575
723	11958	4558
724	11975	4542
725	11994	4526
726	12015	4512
727	12037	4497
728	12053	4480
729	12069	4463
730	12085	4447
731	12099	4429
732	12114	4412
733	12131	4396
734	12147	4379
735	12162	4362
736	12178	4346
737	12194	4329
738	12210	4312
739	12227	4296
740	12246	4280
741	12263	4264
742	12281	4247
743	12297	4231
744	12313	4214
745	12329	4197
746	12345	4181
747	12361	4164
748	12377	4147
749	12393	4131
750	12409	4114
751	12425	4097
752	12441	4081
753	12461	4065
754	12477	4049
755	12495	4032
756	12511	4016
757	12523	3998
758	12538	3981
759	12556	3965
760	12573	3948
761	12589	3932
762	12605	3915
763	12621	3898
764	12637	3882
765	12657	3866
766	12673	3850
767	12689	3833
768	12705	3816
769	12721	3800
770	12738	3783
771	12754	3766
772	12770	3750
773	12787	3733
774	12803	3717
775	12819	3700
776	12838	3684
777	12860	3669
778	12885	3655
779	12902	3639
780	12919	3622
781	12937	3606
782	12955	3590
783	12971	3573
784	12990	3557
785	13010	3542
786	13030	3526
787	13048	3510
788	13068	3494
789	13091	3479
790	13113	3464
791	13130	3448
792	13145	3431
793	13162	3414
794	13177	3398
795	13193	3381
796	13210	3364
797	13224	3347
798	13245	3332
799	13261	3315
800	13280	3299
801	13296	3282
802	13312	3266
803	13328	3249
804	13344	3232
805	13360	3215
806	13379	3199
807	13395	3183
808	13411	3166
809	13426	3149
810	13442	3132
811	13458	3116
812	13474	3099
813	13494	3083
814	13513	3067
815	13534	3051
816	13554	3036
817	13574	3020
818	13596	3004
819	13616	2988
820	13636	2973
821	13654	2956
822	13671	2940
823	13688	2923
824	13707	2907
825	13726	2891
826	13744	2875
827	13760	2858
828	13776	2841
829	13792	2825
830	13809	2808
831	13826	2791
832	13843	2775
833	13861	2759
834	13877	2742
835	13893	2725
836	13909	2708
837	13927	2692
838	13944	2675
839	13962	2659
840	13979	2643
841	13996	2626
842	14018	2610
843	14037	2594
844	14053	2577
845	14070	2561
846	14086	2544
847	14102	2527
848	14121	2511
849	14137	2494
850	14153	2478
851	14173	2462
852	14190	2445
853	14205	2428
854	14221	2411
855	14238	2395
856	14254	2378
857	14270	2361
858	14287	2345
859	14302	2328
860	14320	2311
861	14340	2295
862	14357	2279
863	14373	2262
864	14390	2245
865	14406	2229
866	14422	2212
867	14438	2195
868	14454	2178
869	14470	2162
870	14486	2145
871	14503	2128
872	14518	2112
873	14539	2096
874	14559	2079
875	14578	2063
876	14595	2047
877	14612	2030
878	14628	2013
879	14644	1997
880	14663	1980
881	14679	1963
882	14695	1947
883	14711	1930
884	14726	1913
885	14742	1896
886	14758	1880
887	14778	1863
888	14794	1847
889	14810	1830
890	14826	1813
891	14842	1797
892	14857	1780
893	14873	1763
894	14888	1746
895	14904	1729
896	14920	1713
897	14940	1697
898	14959	1680
899	14979	1664
900	14995	1647
901	15012	1631
902	15028	1614
903	15046	1597
904	15060	1580
905	15076	1564
906	15089	1547
907	15105	1530
908	15121	1513
909	15137	1497
910	15155	1480
911	15171	1463
912	15189	1447
913	15206	1430
914	15223	1414
915	15239	1397
916	15255	1380
917	15270	1364
918	15286	1347
919	15302	1330
920	15317	1313
921	15334	1297
922	15350	1280
923	15366	1263
924	15382	1247
925	15402	1230
926	15418	1214
927	15435	1197
928	15450	1180
929	15461	1163
930	15477	1147
931	15493	1130
932	15508	1113
933	15526	1097
934	15542	1080
935	15560	1063
936	15576	1047
937	15592	1030
938	15612	1014
939	15630	997
940	15646	981
941	15663	964
942	15679	947
943	15695	931
944	15711	914
945	15726	897
946	15742	881
947	15757	864
948	15773	847
949	15789	831
950	15806	814
951	15824	797
952	15841	781
953	15859	764
954	15876	748
955	15891	731
956	15908	714
957	15927	698
958	15943	681
959	15959	664
960	15975	648
961	15990	631
962	16007	615
963	16023	598
964	16042	581
965	16058	565
966	16075	548
967	16090	531
968	16108	515
969	16127	498
970	16143	482
971	16166	465
972	16187	449
973	16210	432
974	16233	416
975	16271	400
976	16300	383
977	16322	367
978	16343	350
979	16361	333
980	16378	317
981	16394	300
982	16410	283
983	16426	267
984	16443	250
985	16460	233
986	16478	217
987	16495	200
988	16512	183
989	16528	166
990	16544	150
991	16560	133
992	16576	116
993	16591	100
994	16605	83
995	16621	66
996	16640	50
997	16656	33
998	16676	16
999	16692	0
